comment,sentiment,confidence,dominant_emotion,article_url
ГЕРБ губи не само изборите. ГЕРБ губи досегашното си влияние в изпълнителната власт. ГЕРБ го чакат тежки времена на борба за оцеляване срещу вълната от антикорупционни обещания на новите победители.,Негативен,0.88,тревога,https://www.mediapool.bg/preferentsii-i-razpredelenie-otkade-kolko-i-koi-shte-sa-deputatite-na-vsyaka-edna-partiya-news382598.html
"И да останат спрени за маджарите, щото Маджар се оказа Предател и скрит пютураст:""Макар да спечели с обещание за нов подход към ЕС, Мадяр си представя по–активна Централна Европа, обединена около по–консервативни правителства с близки възгледи за миграцията, енергетиката и икономическата политика. С изключение на Полша, много от тези държави традиционно поддържат и по–гъвкави отношения с Русия."" Мисията на Петер Мадяр: Да възстанови силата на Австро-Унгарската империя https://mobile.frognews.bg/article/331718/",Негативен,0.94,гняв,https://www.mediapool.bg/preferentsii-i-razpredelenie-otkade-kolko-i-koi-shte-sa-deputatite-na-vsyaka-edna-partiya-news382598.html
"Сега, на първо време, ЕС е наложително да спре всякакви фондове за редовия български путюраст, гласувал за Мунчо. Глад и тояга за малоумния плебс!",Негативен,0.98,гняв,https://www.mediapool.bg/preferentsii-i-razpredelenie-otkade-kolko-i-koi-shte-sa-deputatite-na-vsyaka-edna-partiya-news382598.html
Още при съставянето на кабинета излиза първото предизвикателство : отново и отново ли министър на външните работи ще е евреин !!!! После след клетвата идват охраната на двамата любимци и безценния Сарафов !,Негативен,0.92,гняв,https://www.mediapool.bg/preferentsii-i-razpredelenie-otkade-kolko-i-koi-shte-sa-deputatite-na-vsyaka-edna-partiya-news382598.html
"Мунчо е колхозник, а ти как се чувстваш като скъсана подметка на закоравелия negофил Боко от Банкя с розовия анцуг? https://novini.bg/article/2025030218494078542",Негативен,0.96,гняв,https://www.mediapool.bg/preferentsii-i-razpredelenie-otkade-kolko-i-koi-shte-sa-deputatite-na-vsyaka-edna-partiya-news382598.html
"Ще трябва да стигнем до Радевата зима и да ги удари по джоба, за да им дойде акълът на глупендерите.",Негативен,0.92,гняв,https://www.mediapool.bg/preferentsii-i-razpredelenie-otkade-kolko-i-koi-shte-sa-deputatite-na-vsyaka-edna-partiya-news382598.html
Депутати без имунитети и с еднопосочни билети за Дубай очаквайте през май.,Негативен,0.72,гняв,https://www.mediapool.bg/yotova-svikva-ns-do-dni-ochakva-pravosadna-reforma-i-preporachva-glavniyat-sekretar-na-mvr-da-ostane-news382589.html
"Не съм го гледала. Но по принцип бързорекия Кутев не слешам с внимание, много говори, рядко казва нщо което после да става, все предвижда неща, които не се осъществяват. Лека кавалерия.",Негативен,0.92,пренебрежение,https://www.mediapool.bg/yotova-svikva-ns-do-dni-ochakva-pravosadna-reforma-i-preporachva-glavniyat-sekretar-na-mvr-da-ostane-news382589.html
"Той е в тандем с Е. Дечев, министъра. При един хлабав министър полза от него няма да има. Но Йотова не можше да предложи Дечев, защото е далеч от нейната и на Радев боя.",Негативен,0.82,недоволство,https://www.mediapool.bg/yotova-svikva-ns-do-dni-ochakva-pravosadna-reforma-i-preporachva-glavniyat-sekretar-na-mvr-da-ostane-news382589.html
"Извинение - грешката е моя, написал съм Карбовски, но имах предвид Дачков: 54-минутното интервю за което споменах по-рано. И пак ще трябва да те разочаровам - никъде и дума Кутев не обелва каква ще е същността на съдебната реформа. Кой и колко депутати ще има и какво става ако ги няма - това не е концепция за реформа, а дребни бакалски сметки. Имало било дефекти в правораздаването и това позволявало определени хора да упражняват неформална власт - ние това въобще не го знаехме. Затова пак ще кажа …Прочети целия коментар - сподели тук и обясни какво ще представлява реформата в съдебната система според програмата на ПБ. Ако не знаеш какво е замислено или не можеш да го обясниш, кажи си, ще те разберем и никой няма да ти се сърди.",Негативен,0.86,разочарование,https://www.mediapool.bg/yotova-svikva-ns-do-dni-ochakva-pravosadna-reforma-i-preporachva-glavniyat-sekretar-na-mvr-da-ostane-news382589.html
"Като я зърна тази дърта болшевичка от Сливница ми се обръщат червата! Ако някой ми беше казал на 10-ти ноември 1989 година че такива ще ни управляват 36 години по-късно, щях да му избия зъбите! Между другото, не се ли досещате защо тази червена лелка назначи Гюров за служебен премиер? Благодарение на добрата работа и прекъсвани на купения вот те гарантираха на Радеф това мнозинство и прецакаха ГЕРП, ДПС, ИТН, МЕЧ и други подобни измишльотини! Това е самата истина!",Негативен,0.97,гняв,https://www.mediapool.bg/yotova-svikva-ns-do-dni-ochakva-pravosadna-reforma-i-preporachva-glavniyat-sekretar-na-mvr-da-ostane-news382589.html
"Кой да ми резне квитанциите , бе , игнорамус?",Негативен,0.86,гняв,https://www.mediapool.bg/yotova-svikva-ns-do-dni-ochakva-pravosadna-reforma-i-preporachva-glavniyat-sekretar-na-mvr-da-ostane-news382589.html
"И през тези 6 месеца без заплати,пенсии....и т.н.,вие ли ще храните хората,вие ли ще им плащате разходи,сметки,дължими суми към различни услуги?Предложението е странно.Според мен по-добре е ЕС да спре ПВУзащото има опасност да бъдат ""усвоени"" от олигообръчите на Мунчо.",Негативен,0.92,възмущение,https://www.mediapool.bg/yotova-svikva-ns-do-dni-ochakva-pravosadna-reforma-i-preporachva-glavniyat-sekretar-na-mvr-da-ostane-news382589.html
"Йотова трябва да се занимава с други дела оттук нататък. Препоръките трябва да идват от народа, който беше подведен, че му предстои финансова криза и обедняване, и гласува за човек, когото не познава. Народното събрание веднага трябва да гласува строг контрол на финансовите средства на държавата през преходната 2026 г. За целта може да се наложи мораториум за подписване на големи сделки и спогодби. Трябва да се замразят за 6 месеца заплатите, пенсиите, социалните плащания, данъците, акцизите, таксите. Направените икономии да бъдат връщани в държавния бюджет на страната. Само така можем да видим докъде сме стигнали и с колко да нарастват разходите през следващите години.",Негативен,0.82,тревога,https://www.mediapool.bg/yotova-svikva-ns-do-dni-ochakva-pravosadna-reforma-i-preporachva-glavniyat-sekretar-na-mvr-da-ostane-news382589.html
"На теб, хибридно гавно, много ти знае балалайката напоследък. Да не ти резнат квитанцийките накрая?",Негативен,0.98,гняв,https://www.mediapool.bg/yotova-svikva-ns-do-dni-ochakva-pravosadna-reforma-i-preporachva-glavniyat-sekretar-na-mvr-da-ostane-news382589.html
"Първо , никога не съм ти препоръчвал интервю на Кутев при Карбовски. Препоръчах ти интервюто му с Явор Дачков. В това интервю отиваш на 16- та минута и гледаш следващите няколко минути в които се обясняват стъпките , които ще предприемат в част правосъдие . В детайли. Какво става ако Баце и Пеевски имат над 80 депутати и какво става ако ги нямат. Приятно гледане.И да , не стоя 24 часа във Форума и може да съм пропуснал твой въпрос.",Негативен,0.62,раздразнение,https://www.mediapool.bg/yotova-svikva-ns-do-dni-ochakva-pravosadna-reforma-i-preporachva-glavniyat-sekretar-na-mvr-da-ostane-news382589.html
"Да си пожелаем при следващите избори Костя да отиде при Слафчоу на диванчето, да попръдат из Фесбук заедно.",Негативен,0.87,презрение,https://www.mediapool.bg/kostadinov-narodat-ne-iska-vazrazhdane-da-go-upravlyava-ideologiite-pretarpyaha-krah-news382586.html
"Не бре, максудович, народът не ще вас, руZките помиярпростаци. Особено да му ковете закони и да организирате погроми. Аре чъйба на Варненското блато да си довършиш катунарската шатра с изглед към гавната.",Негативен,0.98,гняв,https://www.mediapool.bg/kostadinov-narodat-ne-iska-vazrazhdane-da-go-upravlyava-ideologiite-pretarpyaha-krah-news382586.html
Народът не поиска и простите и грозни шарлатани да го управляват! ;),Негативен,0.72,презрение,https://www.mediapool.bg/kostadinov-narodat-ne-iska-vazrazhdane-da-go-upravlyava-ideologiite-pretarpyaha-krah-news382586.html
"Крайно време е ЕС да започне автоматично да изключва тъпите народи, които си иZбират путюрасти.",Негативен,0.96,гняв,https://www.mediapool.bg/kostadinov-narodat-ne-iska-vazrazhdane-da-go-upravlyava-ideologiite-pretarpyaha-krah-news382586.html
"Беше си въобразил че е играч, а се оказа играчка, от която вече нямат нужда. Очаква го отичането в канала като Атака, за която никой вече не се сеща.",Негативен,0.95,презрение,https://www.mediapool.bg/kostadinov-narodat-ne-iska-vazrazhdane-da-go-upravlyava-ideologiite-pretarpyaha-krah-news382586.html
"Костадинов понякога е забавено да го слушаш, когато разсъждава на глас... Кажи сега Коце, къде и каква е вашата идеология, че нещо се обърках.",Негативен,0.78,раздразнение,https://www.mediapool.bg/kostadinov-narodat-ne-iska-vazrazhdane-da-go-upravlyava-ideologiite-pretarpyaha-krah-news382586.html
"В канала, копейкин!",Негативен,0.86,презрение,https://www.mediapool.bg/kostadinov-narodat-ne-iska-vazrazhdane-da-go-upravlyava-ideologiite-pretarpyaha-krah-news382586.html
"Интересно на какво се е надявал Костадинов? Обещава да извади България от ЕС и от НАТО, какти да върне лева и иска хората да го харесват? Само един малък % лумпени и идиоти могат да бъдат такива мазохисти.",Негативен,0.95,презрение,https://www.mediapool.bg/kostadinov-narodat-ne-iska-vazrazhdane-da-go-upravlyava-ideologiite-pretarpyaha-krah-news382586.html
"Костадинов е един пуяк, като много други. Дрънкало. Поразгонихме някои слава Богу! Не мога да си обясня тази мания само некадърници и продажници да се натискат за политици.",Негативен,0.96,гняв,https://www.mediapool.bg/kostadinov-narodat-ne-iska-vazrazhdane-da-go-upravlyava-ideologiite-pretarpyaha-krah-news382586.html
"Хора много, на кои хора? Какво ли и питам, Магда...",Негативен,0.62,недоумение,https://www.mediapool.bg/zaradi-izborite-krum-zarkov-iska-vot-na-doverie-news382576.html
Комунета да защитават интереси на хора. Това го няма в цялата необятна вселена,Негативен,0.86,презрение,https://www.mediapool.bg/zaradi-izborite-krum-zarkov-iska-vot-na-doverie-news382576.html
"Най-положителното от последните избори беше, че за първи път от 81 години 100-годишната старица беше изхвърлена извън Събранието. Вярно е, беше заменена от партията на чорапа, но не вярвам последната да се окаже и на 1% толкова корава колкото старицата.",Позитивен,0.72,удовлетворение,https://www.mediapool.bg/zaradi-izborite-krum-zarkov-iska-vot-na-doverie-news382576.html
"Круме, Круме, язък ти за името. Трябвало е да те нарекат Кацамун.",Негативен,0.92,презрение,https://www.mediapool.bg/zaradi-izborite-krum-zarkov-iska-vot-na-doverie-news382576.html
"БСП - ОЛ, ще продължи да съществува, защото хората имат нужда от тях, да защитават техните интереси.",Позитивен,0.82,доверие,https://www.mediapool.bg/zaradi-izborite-krum-zarkov-iska-vot-na-doverie-news382576.html
"Празни приказки. В нормалните държави след провали и резили шефовете на партии си тръгват. За комундетата е стара практика да са неадекватни, във всяка ситуация.",Негативен,0.96,гняв,https://www.mediapool.bg/zaradi-izborite-krum-zarkov-iska-vot-na-doverie-news382576.html
Столетницата най - после се спомина.,Негативен,0.72,облекчение,https://www.mediapool.bg/zaradi-izborite-krum-zarkov-iska-vot-na-doverie-news382576.html
И това трябва да ни интересува защото?,Негативен,0.82,раздразнение,https://www.mediapool.bg/zaradi-izborite-krum-zarkov-iska-vot-na-doverie-news382576.html
"Ей, не разбирате от приятелски задявки.",Негативен,0.72,раздразнение,https://www.mediapool.bg/peevski-zabravi-za-mistar-kesh-pozdravi-radev-za-respektirashtiya-rezultat-news382575.html
Как се чувстваш като скъсана подметка на закоравелия negофил Боко от Банкя с розовия анцуг? https://novini.bg/article/2025030218494078542,Негативен,0.92,презрение,https://www.mediapool.bg/peevski-zabravi-za-mistar-kesh-pozdravi-radev-za-respektirashtiya-rezultat-news382575.html
Пеевски остава без охрана . Вай завала.......,Негативен,0.78,сарказъм,https://www.mediapool.bg/peevski-zabravi-za-mistar-kesh-pozdravi-radev-za-respektirashtiya-rezultat-news382575.html
Господ здраве да му дава на Пасчо Магнитски за да гледаме шоуто му с шарлатаните! ;),Позитивен,0.72,забавление,https://www.mediapool.bg/peevski-zabravi-za-mistar-kesh-pozdravi-radev-za-respektirashtiya-rezultat-news382575.html
"Трябваше някой да натрие носовете на Борисов и Пеевски.За съжаление ППДБ не успя да се възползват от недоволните хора на площадите, не можаха да ги убедят, че ще се справят с Борисов и Пеевски.Още не свършили изборите и се изпокараха за депутатски места.Чудя се, така ли няма кой да му каже на ген.Василев, че е време да мине малко назад.Видя се и на протестите, че хората не го приемат добре.Не знам от тук нататък какво ще става, но не е луд този който яде зелника.",Негативен,0.92,разочарование,https://www.mediapool.bg/peevski-zabravi-za-mistar-kesh-pozdravi-radev-za-respektirashtiya-rezultat-news382575.html
"Изглежда и Радев забрави май, кои наричаше шарлатани! Явно ще му трябват! Пък и те сигурно вече няма да си правят ала, бала с него! Абе политика, магистрална работа.",Негативен,0.86,разочарование,https://www.mediapool.bg/peevski-zabravi-za-mistar-kesh-pozdravi-radev-za-respektirashtiya-rezultat-news382575.html
"Тоя си е тарикат! Слагаше се на Борисов, когато имаше файда от него! Сега ще се слага на Радефф и т.н.т.",Негативен,0.92,презрение,https://www.mediapool.bg/peevski-zabravi-za-mistar-kesh-pozdravi-radev-za-respektirashtiya-rezultat-news382575.html
Свинята мн нагла! Искам реформа в съдебната система и работеща прокуратура! И Дечев да е шеф на МВР а Кандев главсек!,Негативен,0.92,гняв,https://www.mediapool.bg/peevski-zabravi-za-mistar-kesh-pozdravi-radev-za-respektirashtiya-rezultat-news382575.html
"Е, ако трябва да сме честни ""всички нас"" не сме безмълвни свидетели, понеже сами си го причинихме.",Негативен,0.82,вина,https://www.mediapool.bg/peevski-zabravi-za-mistar-kesh-pozdravi-radev-za-respektirashtiya-rezultat-news382575.html
То беше голяма дружба с ПП-ДБ!!,Позитивен,0.72,радост,https://www.mediapool.bg/spored-borisov-druzhbata-mu-s-peevski-i-pp-db-dovela-do-izborniya-krah-na-gerb-news382567.html
"вместо да зяе глynycти. . ., бОко да ходи да . . . си гледа дечицата по Барселона и където още е посял, докато още не са го запряли. . . И каква ""дружба с ППДБ"" си имал, бе, тюфлек-плювалнико? (((-: . . . ""дружба"" ??!?? (-: - да та е*а у дружинната и у милиционер-дружинника . . .",Негативен,0.98,гняв,https://www.mediapool.bg/spored-borisov-druzhbata-mu-s-peevski-i-pp-db-dovela-do-izborniya-krah-na-gerb-news382567.html
Ура! Бойчето продължава да бори корупцията! Само при него никой не помисля да краде!,Негативен,0.78,ирония,https://www.mediapool.bg/spored-borisov-druzhbata-mu-s-peevski-i-pp-db-dovela-do-izborniya-krah-na-gerb-news382567.html
Неуморим! Доктор на науките! Велик! ;),Позитивен,0.98,възхищение,https://www.mediapool.bg/spored-borisov-druzhbata-mu-s-peevski-i-pp-db-dovela-do-izborniya-krah-na-gerb-news382567.html
"Има, има булгарские руZZофиль-путлЭрастите. Не случайно яшар замфиркьов, известен и като ""Тато"" с присъщия си ""изтънчен"" хумор е казвал, ""Когато в маЦква пръъднат, ние в София се на33ираме"".",Негативен,0.94,презрение,https://www.mediapool.bg/spored-borisov-druzhbata-mu-s-peevski-i-pp-db-dovela-do-izborniya-krah-na-gerb-news382567.html
"""Велик..., неуморим..., доктор на нàуките""... упс... абе мазнейката къде е ? Такова мълчание звучи плашещо...Тоа да не си е посегнал... ?",Негативен,0.92,притеснение,https://www.mediapool.bg/spored-borisov-druzhbata-mu-s-peevski-i-pp-db-dovela-do-izborniya-krah-na-gerb-news382567.html
"Благодарим на Борисов, че успя цели 17 години да задържи страната в умерено проевропейско русло, въпреки, че беше избран от посткомунистическата мутро-мафията за ролята на гадев.",Позитивен,0.62,благодарност,https://www.mediapool.bg/spored-borisov-druzhbata-mu-s-peevski-i-pp-db-dovela-do-izborniya-krah-na-gerb-news382567.html
"Дружбата го довела до крах, ама няма да подаде оставка. Решенията за тази дружба кой ги взе ? Мутрата е прав дори когато греши.",Негативен,0.92,гняв,https://www.mediapool.bg/spored-borisov-druzhbata-mu-s-peevski-i-pp-db-dovela-do-izborniya-krah-na-gerb-news382567.html
"Няма вече джипове, джетове...",Негативен,0.72,разочарование,https://www.mediapool.bg/spored-borisov-druzhbata-mu-s-peevski-i-pp-db-dovela-do-izborniya-krah-na-gerb-news382567.html
"Ех Боче...още не си си взел поука гледам. Спокойно, ще имаш достатъчно време, за да преосмислиш резултата.",Негативен,0.86,презрение,https://www.mediapool.bg/spored-borisov-druzhbata-mu-s-peevski-i-pp-db-dovela-do-izborniya-krah-na-gerb-news382567.html
"Гласуват в Сърбия, защото им е по-близо и по-лесно. А два пъти няма как да гласуват. Не си запознат : след изборите всички избирателни списъци се проверяват по ЕГН за двойно гласуване. Аз друго бих попитал. Кога ще можем да гласуваме по пощата, или поне с пълномощно ? Както е в белите държави ?",Негативен,0.72,разочарование,https://www.mediapool.bg/do-chetvartak-tsik-obyavyava-okonchatelnite-rezultati-ot-vota-news382565.html
Никой дума не отваря за българските автобуси в изборният ден в Сърбия! Някои хора са гласували по два пъти!,Негативен,0.92,възмущение,https://www.mediapool.bg/do-chetvartak-tsik-obyavyava-okonchatelnite-rezultati-ot-vota-news382565.html
"гюро сбогом, няма вече джипове, джетове.. след като г-н радев призова служебните министри да се пръждосват, либералдемократите са по-ниски от тревата",Негативен,0.87,презрение,https://www.mediapool.bg/do-chetvartak-tsik-obyavyava-okonchatelnite-rezultati-ot-vota-news382565.html
Мазен вече е време да излезеш в нелегалност. Много материал изписа за кютек,Негативен,0.95,гняв,https://www.mediapool.bg/mvr-politicheskata-kartina-shteshe-da-e-savsem-razlichna-ako-ne-byaha-aktsiite-sreshtu-kupuvaneto-na-glasove-news382562.html
Респект за ноовия шеф на МВР!,Позитивен,0.92,одобрение,https://www.mediapool.bg/mvr-politicheskata-kartina-shteshe-da-e-savsem-razlichna-ako-ne-byaha-aktsiite-sreshtu-kupuvaneto-na-glasove-news382562.html
"Герберите наистина сте уникално тъпи. Само вие не разбрахте, че това МВР не е на ПП-ДБ, а на Радев. Който и спечели изборите. Дано ви просветне когато Дечев остане вътрешен министър в новото правителство или стане главен прокурор, а Кандев от и.ф. стане титулярен главен секретар на МВР.",Негативен,0.96,гняв,https://www.mediapool.bg/mvr-politicheskata-kartina-shteshe-da-e-savsem-razlichna-ako-ne-byaha-aktsiite-sreshtu-kupuvaneto-na-glasove-news382562.html
"Народът накрои шапки. Усети силата си. Ако се наложи, пак ще крои шапки. Народът ни не е заспал и аполитичен, а търси хора, на които да се довери. Много време и пари се пропиляха. Трябва да се осигури работа на всеки българин тук, в България. Но не само да бъхти с кирката и лопатата или да вдига скъпи кибритени кутийки в градовете. Селата са много важни също.",Позитивен,0.62,решителност,https://www.mediapool.bg/mvr-politicheskata-kartina-shteshe-da-e-savsem-razlichna-ako-ne-byaha-aktsiite-sreshtu-kupuvaneto-na-glasove-news382562.html
Сега следва да се установи откъде са парите и законни ли са.,Неутрален,0.86,несигурност,https://www.mediapool.bg/mvr-politicheskata-kartina-shteshe-da-e-savsem-razlichna-ako-ne-byaha-aktsiite-sreshtu-kupuvaneto-na-glasove-news382562.html
"Да,разбира се,но за кого бяха акциите?И от кого бяха заповедите?Знаем истината.Спрете с тези лъжи.",Негативен,0.86,гняв,https://www.mediapool.bg/mvr-politicheskata-kartina-shteshe-da-e-savsem-razlichna-ako-ne-byaha-aktsiite-sreshtu-kupuvaneto-na-glasove-news382562.html
"Шарлатани, към момента - русофилистикът първи, евроатлантика втори, апедофилскитешарлатани сте в тъча. С ВАШЕ МВР! ;)",Негативен,0.92,гняв,https://www.mediapool.bg/mvr-politicheskata-kartina-shteshe-da-e-savsem-razlichna-ako-ne-byaha-aktsiite-sreshtu-kupuvaneto-na-glasove-news382562.html
"Не се ядосвайте, не си заслужава.Poro e един жалък тр-ол. Той тр-оли за да съществува.До вчера целуваше магнитския .адник, днес Радевия. ПП Радвам се, че много хора от НРБ-то не са късопаметни и продажни.",Негативен,0.87,гняв,https://www.mediapool.bg/ostrietata-na-radev-koito-sa-favoriti-za-ministerski-kresla-news382549.html
Обикновено министъра на външните е евреин ......................,Неутрален,0.64,неутралност,https://www.mediapool.bg/ostrietata-na-radev-koito-sa-favoriti-za-ministerski-kresla-news382549.html
"По-добре ще е да си го направят щеф на пощите, ще му приляга повече :)",Негативен,0.72,ирония,https://www.mediapool.bg/ostrietata-na-radev-koito-sa-favoriti-za-ministerski-kresla-news382549.html
"Аз не вярвам избраникът на ген. Решетников - Пропагандата, да е по-различен от споменатите.",Негативен,0.78,недоверие,https://www.mediapool.bg/ostrietata-na-radev-koito-sa-favoriti-za-ministerski-kresla-news382549.html
Като чуя специално името Гечев... Бррррр,Негативен,0.9,отвращение,https://www.mediapool.bg/ostrietata-na-radev-koito-sa-favoriti-za-ministerski-kresla-news382549.html
"Поне за половината от тези, вътрешно няма голяма разлика.",Неутрален,0.82,безразличие,https://www.mediapool.bg/ostrietata-na-radev-koito-sa-favoriti-za-ministerski-kresla-news382549.html
"Кандев е деполитизиран. Не вярвам, но с призива на йотова... А Дечев няма шанс да бъде поканен. Твърде различен е профилът му, пък и остър и точен езикът! .",Негативен,0.68,скептицизъм,https://www.mediapool.bg/ostrietata-na-radev-koito-sa-favoriti-za-ministerski-kresla-news382549.html
"И аз помня всичко описано с изключение на лагерите. Тогава дори не знаех, че в България има този ужас. .",Негативен,0.68,потрес,https://www.mediapool.bg/ostrietata-na-radev-koito-sa-favoriti-za-ministerski-kresla-news382549.html
"Да плагиатстваш е доста,тъпо,неадекватно и неостроумно.",Негативен,0.96,неодобрение,https://www.mediapool.bg/yotova-shte-svika-noviya-parlament-prez-sledvashtata-sedmitsa-news382556.html
"Кога Радев ще въведе отново ""изходни визи"" за пътуване на Запад? След като минем пак към лева ли? Тогава цените ще паднат тройно! Но затова пък ще има много консерви Копърка (от Курилските о-ви)",Негативен,0.86,недоволство,https://www.mediapool.bg/yotova-shte-svika-noviya-parlament-prez-sledvashtata-sedmitsa-news382556.html
Чемодан-Вокзал-Киев за националните предатели! Зеля ги чата отдавна с треперещи ръце.. :)),Негативен,0.92,гняв,https://www.mediapool.bg/yotova-shte-svika-noviya-parlament-prez-sledvashtata-sedmitsa-news382556.html
"Йотова бърза да се ситуира бързо парламента, преди да се е заклел и встъпил в длъжност Мадяр, за да има кой да блокира помощта на ЕС от 90 млрд. € за Украйна.",Негативен,0.82,недоволство,https://www.mediapool.bg/yotova-shte-svika-noviya-parlament-prez-sledvashtata-sedmitsa-news382556.html
"Кандев е избор на Радев , повтарям ти.. И то не е особена тайна.",Неутрален,0.86,увереност,https://www.mediapool.bg/yotova-shte-svika-noviya-parlament-prez-sledvashtata-sedmitsa-news382556.html
"Бъркаш се, драги. Наистина главният секретар на МВР се назначава от президента по предложение на правителството, но Героги Кандев не е назначен нито от Радев, нито от Йотова. Защото той не е титуляр - изпълняващ фунциите е. Гюров и Дечев измислиха този номер за да не би Йотова нещо да попречи. Сега може и да стане титуляр. А за Дечев защо да няма как? Демерджиев казва, че лично той самият би бил полезен в МВР, но това не било само негово решение. Това навежда на мисълта, че няма той да бъде вътрешен министър. Какво пречи тогава да бъде Дечев?",Неутрален,0.62,скептицизъм,https://www.mediapool.bg/yotova-shte-svika-noviya-parlament-prez-sledvashtata-sedmitsa-news382556.html
Не съм чул НПО да плаща данъци. Тия само взимат. Иначе с две ръце съм да се осигури държавна субсидия за еднопосочен билет на всички шарлатани за влака на Гюро София-Киев.,Негативен,0.96,гняв,https://www.mediapool.bg/yotova-shte-svika-noviya-parlament-prez-sledvashtata-sedmitsa-news382556.html
"Кандев може и да остане, доколкото той по принцип е назначение на Радев. Дечев няма как.",Неутрален,0.82,скептицизъм,https://www.mediapool.bg/yotova-shte-svika-noviya-parlament-prez-sledvashtata-sedmitsa-news382556.html
"В ""Сега"" има нещо интересно по въпроса за МВР. Иван Демерджиев, който беше служебен министър на вътрешните работи и сега се очертава като важна фигура в антуража на Радев заявил, че главният секретар Георги Кандев се справя много добре и това е тенденция, която трябва да се следва.",Позитивен,0.78,одобрение,https://www.mediapool.bg/yotova-shte-svika-noviya-parlament-prez-sledvashtata-sedmitsa-news382556.html
"Хахахаха, а ти белина ли си пил? Такава простотия не бях чел скоро... Евроджендидата ми били плащали заплатите, хахахахха",Негативен,0.96,презрение,https://www.mediapool.bg/yotova-shte-svika-noviya-parlament-prez-sledvashtata-sedmitsa-news382556.html
"Мисля, че страната ни има нужда от ГЕРБ - реално вече системна партия, и от БСП. БСП направиха решителна стъпка, и смени лидера си. Време е ГЕРБ да се отърве от мутренското си ръководство, и може би тогава ще имаме реално обединение вдясно.",Неутрален,0.72,надежда,https://www.mediapool.bg/dimitar-ganev-ima-vlivane-na-novi-izbirateli-v-pp-db-koito-kompensirat-otliva-kam-radev-news382553.html
"Защо да отчитат, когато е по-удобно да се говорят ГЛУПОСТИ от ТВ екрана? При това става дума за ОЧЕВИДНИ и ОЧЕВИДНИ неща - ПП-ДБ са увеличили електората си, не знам откъде е тази ""информация"" на Ганев, и 200 000 гласа по-малко за ГЕРБ, или отлив?",Негативен,0.92,гняв,https://www.mediapool.bg/dimitar-ganev-ima-vlivane-na-novi-izbirateli-v-pp-db-koito-kompensirat-otliva-kam-radev-news382553.html
"Колко е жалко да си шарлатанин! ""С вас сме г-н президент"" ;)",Негативен,0.92,презрение,https://www.mediapool.bg/dimitar-ganev-ima-vlivane-na-novi-izbirateli-v-pp-db-koito-kompensirat-otliva-kam-radev-news382553.html
Да има гяволи дето отишли в Англия и в САЩ а пък гласуват за Русия! Я за 48 часа всички гласували да напуснат Обединеното кралство!,Негативен,0.88,гняв,https://www.mediapool.bg/dimitar-ganev-ima-vlivane-na-novi-izbirateli-v-pp-db-koito-kompensirat-otliva-kam-radev-news382553.html
"Защото не им се връзва с мантрата за двата файтона хора, затова :-) И не 40 000, а 62 771 гласа повече.",Позитивен,0.68,задоволство,https://www.mediapool.bg/dimitar-ganev-ima-vlivane-na-novi-izbirateli-v-pp-db-koito-kompensirat-otliva-kam-radev-news382553.html
"Нека да разгледаме поотделно ПП и ДБ. ПП е креатура на Радев и те се разделиха заради Русия. ПП изоставиха Радев, защото той служи на Москва, а Радев си ""свали доверието"" от тях, защото не искаха да служат на Москва. Русия е основното, което ги раздели. ДБ обаче нямаше и няма нищо общо с Радев. Сега социологическите проучвания показват че голяма част от преди гласувалите за ПП-ДБ сега са гласували за Радев, но още по-голяма част от нови избиратели (гласували преди за други или не гласували) са избрали …Прочети целия коментар ПП-ДБ. Затова смятам, че 1. ПП-ДБ е единствената от предишните участници, която разширява влиянието си и 2. Електоралната тежест в коалицията се измества от ПП към ДБ. Във всеки случай първото е сигурно, а второто е вероятно.",Неутрален,0.78,увереност,https://www.mediapool.bg/dimitar-ganev-ima-vlivane-na-novi-izbirateli-v-pp-db-koito-kompensirat-otliva-kam-radev-news382553.html
След Петрохан привлякоха пeдoфuлския глас.,Негативен,0.82,отвращение,https://www.mediapool.bg/dimitar-ganev-ima-vlivane-na-novi-izbirateli-v-pp-db-koito-kompensirat-otliva-kam-radev-news382553.html
"Проф. Пламен Киров: Недопусимо е, че социолозите не хванаха победата с абсолютно мнозинство на Радев. Оттук нататък трудно ще им вярваме",Негативен,0.92,разочарование,https://www.mediapool.bg/dimitar-ganev-ima-vlivane-na-novi-izbirateli-v-pp-db-koito-kompensirat-otliva-kam-radev-news382553.html
"""По думите му това е столичен и млад електорат, но категорично става въпрос за нови избиратели."" Една корекция към г-н Ганев - не е само столичен и не е само млад този нов електорат.",Неутрален,0.88,спокойствие,https://www.mediapool.bg/dimitar-ganev-ima-vlivane-na-novi-izbirateli-v-pp-db-koito-kompensirat-otliva-kam-radev-news382553.html
"На практика основно боклуците от Продължаваме Пeдerasтията са основните губещи, защото те най много лаяха срещу генерал Радев и бяха готови да си разтворят бузите на Прасчо, само и само да му орежат правата като президент. 40000 при тази огромна избирателна активност са НИЩО! Но продължавайте да се утешава те, имате нужда.",Негативен,0.98,гняв,https://www.mediapool.bg/dimitar-ganev-ima-vlivane-na-novi-izbirateli-v-pp-db-koito-kompensirat-otliva-kam-radev-news382553.html
Майка ти и баща ти!,Негативен,0.82,гняв,https://www.mediapool.bg/razmestvaniya-v-listite-na-pp-db-v-sofiya-news382551.html
